ID	GSM647461	GSM647462	GSM647463	GSM647464	GSM647465	GSM647466	GSM647467	GSM647468	GSM647469	GSM647470	GSM647471	GSM647472	GSM647473	GSM647474	GSM647475	GSM647476	GSM647477	GSM647478	GSM647479	GSM647480	GSM647481	GSM647482	GSM647483	GSM647484	GSM647485	GSM647486	GSM647487	GSM647488	GSM647489	GSM647490	GSM647491	GSM647492	GSM647493	GSM647494	GSM647495	GSM647496	GSM647497	GSM647498	GSM647499	GSM647500	GSM647501	GSM647502	GSM647503	GSM647504	GSM647505	GSM647506	GSM647507	GSM647508	GSM647509	GSM647510	GSM647511	GSM647512	GSM647513	GSM647514	GSM647515	GSM647516	GSM647517	GSM647518	GSM647519
6880	6.372195543999999	6.391229924	6.392686035	6.386360059	6.432797811	6.310602943	6.375362248	6.37464706	6.346739449	6.372778133	6.398101171	6.501565602	6.368255001	6.439050467	6.380324479	6.437802129	6.466759998	6.436557397	6.360822724	6.296245382	6.309931916	6.29664387	6.498321823	6.398815685	6.336544384	6.382555391	6.373315626	6.401292394	6.413466304	6.441404235	6.325969809	6.371420833	6.58580499	6.403801953	6.416368876	6.390641305	6.463077575	6.427538384	6.463994555	6.413778569	6.381989286	6.426208085	6.351189473	6.338148348	6.40197492	6.352696039	6.509718116	6.386792258	6.396858195	6.409940679	6.381017406	6.389173513	6.384496503	6.485371814	6.53114353	6.636996455	6.528047806	6.47688397	6.42000548
7190	6.873792236	7.481587544	9.00444335	10.60663517	6.779773306	6.713119621	6.829890085	10.5179699	7.296349715	6.748411004	6.932581787	6.700948652	6.698792443	6.594788191	6.728719103	7.002635796	7.346164965	7.26754404	6.703592659	6.671080475	6.743686662	10.44235505	7.349990034	6.940023127	6.720366911	6.87830119	7.163913001	6.744138374	7.501702309	7.256003216	7.162983497	10.46659676	7.219996584	7.239279749	7.674645134	6.842795661	8.12432852	6.693642534	7.445846861	6.796798227	6.867023268	7.287059637	6.906005045	6.733685009	7.339522544	7.086920729	6.843933543	7.552226996	8.07385869	7.090481594	7.429070612	7.179746813	6.978198059	7.297303693	6.402882507999999	6.523193945	6.749471864	6.446270063	8.87410053
9578	6.397713641	12.41670495	8.03315731	6.415439226	8.810040489	10.73951542	8.765925303	6.555588957	6.469960714	6.432939145	6.481151229	11.28567232	10.03092356	8.692586767	6.431705028	6.692920325	6.416406589	10.11272439	10.43504245	9.23024081	6.639581423	6.700946943	6.904274736	6.833211359	6.445936263	6.472420201	11.11526617	8.004990613	6.432350817	6.435714444	6.762502839	11.78600922	7.291545846	10.82452148	6.4563008	11.2405112	10.48369903	12.33055639	7.708875332	12.14577646	8.58179904	10.25075391	6.891367106	6.497703106	6.602887672	6.546742383	6.509696016	6.490595212	6.550670774	7.142568816	6.659209293	8.277581705	6.525554146	6.51561841	10.20268222	7.768781917	11.19461594	12.52734748	11.03460818
9634	6.9969930389999995	7.260208641	7.479393609	6.716311285	7.583847076	6.912334241	6.534791385	7.260695023	6.759616727	7.657666292	6.816611782	7.441730989	7.21302347	6.628253354	7.354815626	7.720774885	6.960761169	7.739322912	7.217020079	6.934197198	7.678274779	7.364377086	7.762842058	7.360812332	7.152578198	6.570781575	9.47654166	7.25779421	8.381593067	6.918593103	7.117416068	8.583374442	6.627550507	6.78133639	6.738675159	8.456855517	8.425015846	8.76850693	7.904884353	8.419730847	7.130367747	8.098645524	6.381249302	6.421308876	6.645395284	6.40231417	7.322150971	7.423354608	7.068857577	7.439178091	7.016305577	6.755274238	6.855151636	8.122934403	8.805343062999999	6.514675944	8.590664198	7.785988363	7.946299459
9938	8.405967866000001	9.19661643	10.44901102	9.648106324	8.487395948	10.82184313	10.40493294	10.65364216	10.4531914	10.43163429	11.88444019	12.49973329	10.30568923	9.567303304	9.341195565	8.408464683	10.29314737	10.64921633	9.275217161	11.08008726	12.24340923	9.223177572	9.378658252	10.0003491	10.77474776	10.15293073	10.06509926	8.496480862	8.970397545	8.533340582	10.55450213	10.41472909	10.48628347	8.635877409	9.722223211	9.512610424	9.55563794	11.0051297	9.429001171	9.37812316	10.60063719	10.35895947	8.959508259	8.046339251	7.813815442	7.306018318	8.612377098	8.554467965	10.08912374	9.757154715	8.256222369	8.121435135	6.91349396	9.85233929	6.924043116	9.17279563	9.623542865	9.182350877	9.301021308
10138	7.298875374	6.418641915	6.884409735	7.871562936	6.288912198	6.716331081	8.052865423	8.941826706	8.529869819	9.037708464	10.20887558	9.538178286	9.710646884	7.692618553	7.134576675	6.355773718	7.960392465	8.662856271	10.15060039	9.31495091	10.1149687	9.428384067	10.22543688	9.315957132	9.302758932	8.571104103	6.355778978	9.055819232	10.42083575	9.21548775	8.898696786	11.28033316	8.199887556	8.968662378	8.130765084	6.47574989	8.669430175	6.455197737	10.86326986	6.495128677	8.583981876	10.17189854	7.390498805	6.322306598	7.74892513	6.393613039	7.963349509	8.343004002	9.551232081	9.81665471	9.162283165	8.401112614	6.607003285	7.908600262	10.44248493	6.872862289	9.958641211	6.349260633	6.368735038
10306	7.349787364	7.694169343	7.323496599	8.597975297	7.573870011	9.299885853	8.278163732	6.989612613	7.328214651	6.937597158	6.864463985	8.038622445	11.18228939	7.064545002	9.572569315	7.543325826	10.16285241	7.638023702	7.214886812	6.903107607	6.872446858	6.71986685	6.829467684	8.13118221	8.010562679	7.887971447	7.169720869	9.455035313	7.124202726	6.582309997	6.723589831	7.548583286	6.774003104	6.660483153	10.61353959	7.556406943	7.545079236	7.916657771	7.296899508	7.961177589	7.669911527	7.121817706	9.479311774	7.247808384	10.00240716	6.661900005	7.637040965	11.29912439	10.70158622	8.552911288	6.767630825	9.109187908	10.07128671	11.06820908	6.853616378	6.655772635	7.526745272	8.945530888	8.139556981
10482	6.315852926	6.519311678	6.512872932	6.563184076	6.539035139	6.563789128	6.471709857	6.56704715	6.516967825	6.581102599	6.642561891	6.411485473	6.448950007	6.448637668	6.476783052	6.459034741	6.480637403	6.554628032	6.52251302	6.51266443	6.486349218	6.626462256	6.453343385	6.626245776	6.566665221	6.642822897	6.672804399	6.519957563	6.625307294	6.581069185	6.621213654	6.586500514	6.731897786	6.670885224	6.522330898	6.580240366	6.594996438	6.537322775	6.524281138	6.581666118	6.576323715	6.521767498	6.533057118	6.527045886	6.669507334	6.696708936	6.523031927	6.5490034	6.751227743	6.615249745	6.77429233	6.786908586	6.597936655	6.498369488	6.441175038	6.573072106	6.479707423	6.575187458	6.615791652
10586	7.27166542	7.038421742	7.076825121	7.058860609	7.094116594	7.182790205	7.428582641	7.124534806	7.121822347	7.055479762	7.364110884	7.255437087	6.935802413	7.531337125	7.049253074	7.143123657	7.069838953	7.180503189	7.219985896	7.035058077	7.123475975	7.158184901	7.009597588	7.300208353	7.195944891	7.434049192	7.209796595	7.115279274	7.122391913	7.26761292	7.378769722	7.203608006	7.099419856	7.253425664	7.104670324	7.210748896	7.036233548	7.140305556	7.411242549	7.071946501	7.896553826	7.071952288	7.145103022	6.977276951	7.252169454	7.728834035	7.189593169	7.192444722	7.140575084	7.183622526	7.347187824	7.280068363	7.237787716	6.958000927	7.133660849	7.210112568	7.053575784	7.008372631	6.992984425
10618	6.852633431	6.720958768	6.759039392	6.749208586	6.746122203	6.726284822	6.91571506	6.860427627	6.669626956	6.778549352	6.874271607	6.780646379	6.71016434	6.811686694	6.742436959	6.762957933	6.729476166	6.795273628	6.896943161	6.783262862	6.814767556	6.833458707	6.822098175	6.990414185	6.776939011	7.148475494	7.033430404	6.752330814	6.859361396	7.00101872	6.926598168	6.802118683	6.897280542	7.14572602	6.796639775	6.95824299	6.777765686	6.810067858	6.936352157	6.826704067	6.896406961	6.772188537	6.932462911	6.779921734	7.000121626	7.09628288	6.799813536	6.962712079	6.929438808	6.905912338	6.951463109	6.912177667	6.828820862	6.786810551	6.79338406	7.040692032	7.083896075	6.852283213	6.785874101
